id_cliente,nombre1,nombre2,apellido,email,telefono,calle,numero,localidad,provincia,pais
100000,Mervin,Shelton,Wynn,play1877@gmail.com,+18283187208,Hillside,321,West Lafayette,Wyoming,Guinea
100001,Long,Tobias,Freeman,workout1995@yahoo.com,+14844848092,Ogden,860,Prior Lake,North Dakota,South Korea
100002,Ernest,Doyle,Schroeder,encyclopedia1917@gmail.com,+1-718-139-9614,Woodside,551,Victorville,Maine,Niger
100003,Sean,Wade,Delaney,competition2049@example.com,+15408293935,Kenwood,415,Goleta,Wyoming,Ethiopia
100004,Stormy,Moses,Koch,bestsellers1805@protonmail.com,+19754585152,Eastwood,948,Terre Haute,Georgia,Burkina Faso
100005,Shavonda,Waldo,Ryan,commentary1891@gmail.com,+12157586760,Valparaiso,248,Lynwood,Vermont,South Korea
100006,Kevin,Harry,Benson,exhaust1858@outlook.com,+19120955708,Stratford,824,Whittier,Kentucky,Tunisia
100007,Devin,Verdie,Crosby,announces1870@live.com,+19701251610,Texas,767,Camden,Maine,Mongolia
100008,Cicely,Luanna,Allen,horses1905@yandex.com,+1-701-305-5119,Laguna Honda,1026,Albert Lea,Nebraska,Colombia
100009,Veronika,Camie,Molina,translated1878@example.org,+1-203-407-9002,Bush,723,Newport News,Pennsylvania,Zimbabwe
100010,Charise,Chung,Franco,dylan1971@protonmail.com,+1-918-313-5363,Farview,859,Abilene,Wisconsin,Fiji
100011,Mariel,Maxwell,Huffman,oem1958@live.com,+1-815-911-7191,Rizal,229,Spokane,West Virginia,Cuba
100012,Michiko,Donald,Ramos,max2013@live.com,+1-512-044-9668,Judah,361,Rock Island,Oregon,Ukraine
100013,Louis,Hipolito,Sherman,streaming1860@yahoo.com,+19087792560,Levant,121,Grapevine,New Mexico,Canary Islands
100014,Antione,Franklin,Glenn,calendars1986@example.org,+1-858-528-7400,Graham,274,El Centro,Washington,Netherlands
100015,Abel,Piper,Gutierrez,flexibility1848@yandex.com,+15132445431,Bret Harte,260,Calumet City,West Virginia,Namibia
100016,Otelia,Otha,Mejia,room2012@duck.com,+15048792427,Jones,1021,Shively,California,Canada
100017,Reuben,Alaine,Golden,siemens1826@yahoo.com,+1-810-633-1029,White,199,East Lansing,Arizona,Montenegro
100018,Tien,Aja,Pollard,plate1856@gmail.com,+19033546702,Campus,498,Texas City,Washington,Réunion
100019,Bradford,Connie,Mccormick,president1994@yandex.com,+1-470-100-6999,Faith,139,Redlands,Idaho,Vatican City
100020,Darrel,Lesley,Wiley,annotated1885@outlook.com,+18120509607,Stevenson,431,East Providence,Alabama,Nauru
100021,Benito,Kati,Stark,hello1990@example.org,+1-417-587-7276,Ashbury,910,Yonkers,Montana,Panama
100022,Coralie,Lyla,Powers,due2055@outlook.com,+1-915-685-9666,Mayfair,353,Tracy,Maryland,Liberia
100023,Evelin,Dione,Austin,lenders1864@gmail.com,+1-445-664-7594,Lilac,580,Vancouver,Indiana,Montenegro
100024,Creola,Drucilla,Jordan,schemes2079@protonmail.com,+1-989-604-5746,Linden,815,Doral,Rhode Island,Poland
100025,Margart,Harold,Clarke,sec2044@duck.com,+18046095087,Corona,335,Cranston,Maine,Belize
100026,Bao,Russell,Conrad,dale2094@duck.com,+1-442-720-5586,Miller,1375,Glendora,Wisconsin,Suriname
100027,Emanuel,Dot,Schwartz,hilton1964@example.org,+17726250357,Tomaso,532,Salisbury,Texas,Eritrea
100028,Ardella,Naida,Noble,duke1869@protonmail.com,+19123881629,Bowley,441,Eagle Pass,North Carolina,Panama
100029,Yajaira,Mickey,Blankenship,quotes1900@yahoo.com,+1-754-666-8320,Pierpoint,922,Reno,Iowa,Uganda
100030,Ellsworth,Shyla,Terrell,verizon1945@example.org,+18050028652,China Basin,97,Sumter,Iowa,Congo - Brazzaville
100031,Heike,Willis,Howell,alter1840@example.org,+1-341-622-9317,Morgan,556,Windsor,North Dakota,Iran
100032,Frederick,Lucas,Wiley,mills1895@gmail.com,+16180330375,Windsor Mill,1105,Mukilteo,Maine,Nauru
100033,Francisco,Owen,Ortega,hits1944@gmail.com,+1-949-404-4687,Bank,1133,Alamo,Kentucky,Zambia
100034,Woodrow,Ruben,Henry,machines1953@example.com,+1-732-604-5101,South Park,182,Newton,Minnesota,China
100035,Michiko,Fe,Sanford,advisors2091@yahoo.com,+1-443-162-3136,Lapu-Lapu,1336,New Philadelphia,Arkansas,Liechtenstein
100036,Kanisha,Mathilde,Rosa,sight1873@example.com,+19176607219,Dedman,952,New Hope,Pennsylvania,Chad
